class,Lichen location 1,Lichen location 2,Lichen location 3,Lichen location 4,Lichen location 5,Lichen location 6,Lichen location 7,Lichen location 8,Root location 1,Root location 2,Root location 3,Root location 4,Root location 5,Root location 6,Root location 7,Root location 8,Root location 9,Root location 90,Soil location 1,Soil location 2,Soil location 3,Soil location 4,Soil location 5,Soil location 6,Soil location 7,Soil location 8,Soil location 9,Soil location 90
Eurotiomycetes,0,0,0,0,0,0,0,0.00011019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02E-05,0,0
Eurotiomycetes,0,0.000196448,0,0,0,0,4.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,3.69E-05,0,0,3.75E-05,0,0,0,0,0
Eurotiomycetes,0.000185404,0.000245559,0.000214819,0.000270786,0,7.17E-05,0,0.000859485,0,0,0,0,0,0,0,0,0,0,3.69E-05,0.000141267,0.000364122,0.000542771,0.000106348,0.000574111,0.000433701,0.000467964,0.000248465,0.000266293
Eurotiomycetes,0.000880669,0.000196448,0.000153442,0.000243708,0.000383534,0.00033448,0.000212756,0.000484838,0,0,0,0,0,0,0,0,0,0,3.07E-05,1.84E-05,0,4.67E-05,8.13E-05,3.38E-05,7.95E-05,0.000109192,0,0
Eurotiomycetes,0.000162229,0.000147336,0,0.000148932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46E-05,2.46E-05,3.57E-05,0.000221777,0.000206441,0,0,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61E-05,0,0.000282347,1.86E-05
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46E-05,0,0,0,0,1.93E-05,0,0,2.26E-05,1.86E-05
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.53E-05,0,0,0,0,0,0,0,0,0,0
Eurotiomycetes,0.000139053,0.000458378,4.60E-05,0.000108314,0.000178982,0.000119457,0.000130926,0.000242419,0,0,0,0,0,0,0,0,0,0,0.000239739,1.84E-05,4.28E-05,0.000210105,0.000256487,0.000559638,0.000180709,0.000670748,0.000191996,0.000340608
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46E-05,0,0,0,0,0,0,3.90E-05,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07E-05,5.00E-05,0,0,0,0,0,0.00012988,0
Eurotiomycetes,0,0,0,0,0,0,0.000180024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14E-05,0,0,0,0,0,5.65E-05,0
Eurotiomycetes,0,0,0,9.48E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15E-05,0,0,0,0,0,0,0,0,0
Eurotiomycetes,0,0.000343783,4.60E-05,0,0,0,0,0.000132228,0,0,0,0,0,0,0,0,0,0,0,5.53E-05,0.000157072,0,3.75E-05,0.00018333,0.000115654,0.000233982,0,0
Eurotiomycetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01E-05,0,2.46E-05,6.43E-05,1.75E-05,0,4.82E-05,0,0,0.000773631,8.05E-05
